kind,player,season,stat,note
prime,Eric Garcia,25/26,,Su temporada cumbre medida (25/26) como pivote organizador en el Barcelona.
prime,Dries Mertens,18/19,goleador histórico del Napoli,"Ciro, el belga que se convirtió en el máximo artillero del club."
prime,Marco Verratti,18/19,cerebro del PSG,"El pequeño búho, dueño del ritmo en el mediocampo parisino."
prime,Manuel Ugarte,23/24,líder en robos de la Ligue 1,"El ancla del PSG, tapón defensivo del mediocampo."
prime,Xavier Hernández Creus,11/12,maestro del tiki-taka,El metrónomo del Barça de Guardiola en su última gran temporada.
prime,Exequiel Palacios,22/23,,Su temporada cumbre medida (22/23) como pivote organizador en el Bayer Leverkusen.
prime,Lee Kang-In,25/26,,Su temporada cumbre medida (25/26) como creador en el Paris Saint Germain.
prime,Santiago Cazorla,19/20,,Su temporada cumbre medida (19/20) como creador en el Villarreal.
prime,Riyad Mahrez,19/20,regate y asistencias,Extremo diferencial del City de Guardiola.
prime,Danilo Soares,21/22,,Su temporada cumbre medida (21/22) como destructor en el Bochum.
prime,James Rodríguez,14/15,"13 goles, 13 asist.",Llegó al Madrid como Bota de Oro y máximo goleador del Mundial 2014.
prime,Rodri,17/18,dueño del mediocampo,Antes del City: pivote de un Villarreal reconocible.
prime,Mamadou Sangaré,25/26,,Su temporada cumbre medida (25/26) como destructor en el Lens.
prime,Rodrigo Bentancur,21/22,,Su temporada cumbre medida (21/22) como pivote organizador en el Tottenham.
prime,Pascal Groß,19/20,,Su temporada cumbre medida (19/20) como creador en el Brighton.
prime,Marek Hamsik,14/15,capitán eterno del Napoli,El eslovaco que sería el máximo goleador histórico del club.
prime,Leandro Paredes,22/23,,Su temporada cumbre medida (22/23) como pivote organizador en el Juventus.
prime,Idrissa Gueye,18/19,,Su temporada cumbre medida (18/19) como destructor en el Everton.
prime,Eden Hazard,18/19,"16 goles, 15 asist.",Su despedida del Chelsea: MVP y Europa League antes del Madrid.
prime,Dale Stephens,18/19,,Su temporada cumbre medida (18/19) como destructor en el Brighton.
prime,Aaron Wan-Bissaka,18/19,,Su temporada cumbre medida (18/19) como destructor en el Crystal Palace.
prime,Fred,22/23,,Su temporada cumbre medida (22/23) como destructor en el Manchester United.
prime,Benjamin André,19/20,,Su temporada cumbre medida (19/20) como destructor en el Lille.
prime,Lorenzo Insigne,18/19,magia zurda en Nápoles,"El capitán del Napoli, dueño de 'il tiro a giro'."
prime,Trent Alexander-Arnold,21/22,12 asistencias,Lateral-creador récord; el mejor pasador desde la defensa.
prime,Marco Asensio,24/25,zurda de terciopelo,"Golazos de rosca al ángulo, seña de identidad."
prime,Isco,17/18,fantasía en el Bernabéu,El año de la 'Isco-dependencia' y la tercera Champions seguida.
prime,Jude Bellingham,23/24,23 goles en su 1ª temporada,Debut arrollador en el Madrid: goles decisivos y Champions.
prime,Pedri,25/26,cerebro del Barça,"Control, llegada y criterio; el heredero del mediocampo azulgrana."
prime,Arturo Vidal,19/20,,Su temporada cumbre medida (19/20) como pivote organizador en el Barcelona.
prime,Dani Ceballos,22/23,,Su temporada cumbre medida (22/23) como pivote organizador en el Real Madrid.
prime,Rafinha,16/17,,Su temporada cumbre medida (16/17) como pivote organizador en el Barcelona.
prime,Granit Xhaka,17/18,volumen de pase del Arsenal,"El zurdo suizo, organizador desde la base."
prime,Vanderson,24/25,,Su temporada cumbre medida (24/25) como destructor en el Monaco.
prime,Toni Kroos,23/24,precisión de pase récord,Última temporada: otra Champions antes de retirarse.
prime,Yves Bissouma,23/24,,Su temporada cumbre medida (23/24) como pivote organizador en el Tottenham.
prime,Valentin Rongier,25/26,,Su temporada cumbre medida (25/26) como pivote organizador en el Rennes.
prime,Oriol Romeu,23/24,,Su temporada cumbre medida (23/24) como pivote organizador en el Barcelona.
prime,João Palhinha,23/24,,Su temporada cumbre medida (23/24) como destructor en el Fulham.
prime,Oleksandr Zinchenko,22/23,,Su temporada cumbre medida (22/23) como pivote organizador en el Arsenal.
prime,Manuel Akanji,25/26,,Su temporada cumbre medida (25/26) como pivote organizador en el Inter.
prime,Nicolás Tagliafico,22/23,,Su temporada cumbre medida (22/23) como pivote organizador en el Lyon.
prime,Marcos Alonso,21/22,,Su temporada cumbre medida (21/22) como pivote organizador en el Chelsea.
prime,Aurelien Tchouameni,22/23,recuperación y salida,Pivote-central del Madrid de la Champions.
prime,Alexis Flips,21/22,,Su temporada cumbre medida (21/22) como lateral ofensivo en el Reims.
prime,Moisés Caicedo,25/26,,Su temporada cumbre medida (25/26) como central de salida en el Chelsea.
prime,Maximilian Mittelstädt,23/24,,Su temporada cumbre medida (23/24) como lateral defensivo en el Vfb Stuttgart.
prime,Nordi Mukiele,19/20,,Su temporada cumbre medida (19/20) como lateral defensivo en el Rasenballsport Leipzig.
prime,João Cancelo,20/21,lateral-interior,Reinventó el puesto en el City de Guardiola.
prime,Álex Granell,17/18,,Su temporada cumbre medida (17/18) como lateral ofensivo en el Girona.
prime,Kim Min-Jae,25/26,El Monstruo,"Central dominante, del scudetto del Napoli al Bayern."
prime,Leonardo Balerdi,23/24,,Su temporada cumbre medida (23/24) como central de salida en el Marseille.
prime,Federico Dimarco,25/26,,Su temporada cumbre medida (25/26) como lateral ofensivo en el Inter.
prime,Gerard Piqué Bernabéu,09/10,central del sextete,Regresó al Barça y lo ganó todo.
prime,César Azpilicueta,19/20,,Su temporada cumbre medida (19/20) como central de salida en el Chelsea.
prime,Afonso Moreira,25/26,,Su temporada cumbre medida (25/26) como lateral ofensivo en el Lyon.
prime,Diego Rico,19/20,,Su temporada cumbre medida (19/20) como lateral defensivo en el Bournemouth.
prime,Patrick Herrmann,19/20,,Su temporada cumbre medida (19/20) como lateral ofensivo en el Borussia M.Gladbach.
prime,Alexander Hack,21/22,,Su temporada cumbre medida (21/22) como lateral defensivo en el Mainz 05.
prime,Cristian Romero,23/24,"Cuti, agresividad campeona",Central del Tottenham y del Mundial 2022.
prime,Mats Wieffer,24/25,,Su temporada cumbre medida (24/25) como central de salida en el Brighton.
prime,Gonzalo Castro,15/16,,Su temporada cumbre medida (15/16) como lateral ofensivo en el Borussia Dortmund.
prime,Jonathan Clauss,21/22,,Su temporada cumbre medida (21/22) como lateral ofensivo en el Lens.
prime,Kenny Tete,22/23,,Su temporada cumbre medida (22/23) como lateral defensivo en el Fulham.
prime,Malang Sarr,25/26,,Su temporada cumbre medida (25/26) como central de salida en el Lens.
prime,Federico Valverde,24/25,pulmón total,"Corre, marca y defiende; motor del Real Madrid."
prime,Sulzeer Jeremiah ''Sol' Campbell,03/04,,Su temporada cumbre medida (03/04) como central stopper en el Arsenal.
prime,Filip Kostic,22/23,,Su temporada cumbre medida (22/23) como lateral ofensivo en el Juventus.
prime,Daniel Alves da Silva,09/10,lateral total,Carrilero incansable del mejor Barça.
prime,Denis Zakaria,24/25,,Su temporada cumbre medida (24/25) como lateral defensivo en el Monaco.
prime,Jony,18/19,,Su temporada cumbre medida (18/19) como lateral ofensivo en el Alaves.
prime,Pascal Struijk,20/21,,Su temporada cumbre medida (20/21) como central de salida en el Leeds.
prime,Edgar Ié,17/18,,Su temporada cumbre medida (17/18) como lateral defensivo en el Lille.
prime,Dehmaine Assoumani,25/26,,Su temporada cumbre medida (25/26) como lateral ofensivo en el Nantes.
prime,Joel Matip,21/22,elegancia y salida de balón,Socio de Van Dijk en el Liverpool de las finales.
prime,Samuel Umtiti,17/18,muro central del Barça,Sociedad defensiva con Piqué; campeón del mundo 2018.
prime,Sergi Roberto,18/19,,Su temporada cumbre medida (18/19) como central de salida en el Barcelona.
prime,Marcel Risse,15/16,,Su temporada cumbre medida (15/16) como lateral ofensivo en el Fc Cologne.
prime,Clement Michelin,20/21,,Su temporada cumbre medida (20/21) como lateral defensivo en el Lens.
prime,Birger Meling,22/23,,Su temporada cumbre medida (22/23) como lateral defensivo en el Rennes.
prime,Lewis Cook,23/24,,Su temporada cumbre medida (23/24) como lateral defensivo en el Bournemouth.
prime,Ryan Fraser,18/19,,Su temporada cumbre medida (18/19) como lateral ofensivo en el Bournemouth.
prime,Eder Militão,22/23,,Su temporada cumbre medida (22/23) como central de salida en el Real Madrid.
prime,Clement Lenglet,20/21,,Su temporada cumbre medida (20/21) como central de salida en el Barcelona.
prime,Aissa Mandi,25/26,,Su temporada cumbre medida (25/26) como central de salida en el Lille.
prime,Kolo Habib Touré,03/04,,Su temporada cumbre medida (03/04) como central stopper en el Arsenal.
prime,Dean Huijsen,24/25,,Su temporada cumbre medida (24/25) como central de salida en el Bournemouth.
prime,Anton Stach,25/26,,Su temporada cumbre medida (25/26) como lateral defensivo en el Leeds.
prime,Maxime Le Marchand,18/19,,Su temporada cumbre medida (18/19) como central de salida en el Fulham.
prime,Javier Alejandro Mascherano,13/14,central reconvertido,"El Jefecito, cortafuegos del Barça."
prime,Ethan Ampadu,25/26,,Su temporada cumbre medida (25/26) como central de salida en el Leeds.
prime,Sergio Reguilón,23/24,,Su temporada cumbre medida (23/24) como lateral ofensivo en el Brentford.
prime,Castello Lukeba,22/23,,Su temporada cumbre medida (22/23) como lateral defensivo en el Lyon.
prime,Virgil van Dijk,18/19,,Su temporada cumbre medida (18/19) como central stopper en el Liverpool.
prime,Ruben Dias,20/21,,Su temporada cumbre medida (20/21) como central stopper en el Manchester City.
prime,Sergio Ramos,13/14,el gol del minuto 93,Su cabezazo en Lisboa alumbró La Décima.
prime,Thiago Silva,12/13,O Monstro,"El mejor central del mundo, capitán del PSG."
prime,Kalidou Koulibaly,17/18,muro del Napoli,Uno de los mejores centrales del planeta en la Serie A.
prime,Nemanja Vidic,10/11,capitán de hierro,Líder de la defensa del United campeón.
prime,Rio Ferdinand,07/08,elegancia y Champions,Central del United que ganó Premier y Europa en Moscú.
prime,Vincent Kompany,11/12,el gol del título,Su cabezazo ante el United encaminó la primera Premier del City.
prime,Diego Godin,13/14,alma del Atleti,Su gol dio la Liga en el Camp Nou; final de Champions.
prime,Mats Hummels,13/14,salida de balón alemana,Central del Dortmund y del Mundial de 2014.
prime,Jerome Boateng,15/16,salida de balón alemana,Central del Bayern y del Mundial 2014.
prime,Giorgio Chiellini,16/17,BBC de la Juventus,Muro de la mejor defensa de Europa.
prime,Marquinhos,20/21,capitán del PSG,"Central versátil, hasta pivote, de la final de Champions."
prime,William Saliba,23/24,la mejor defensa de la Premier,El francés convirtió al Arsenal en un muro.
prime,Philipp Lahm,12/13,lateral y pivote perfecto,Capitán del Bayern del triplete 2013.
prime,Marcelo Vieira da Silva Junior,16/17,lateral ofensivo total,Carrilero de las Champions del Madrid.
prime,Dani Alves,14/15,asistencias desde la banda,Carrilero del triplete 2015 del Barça.
prime,Jordi Alba,18/19,desborde y pase,La conexión eterna con Messi por la izquierda.
prime,Andrew Robertson,18/19,lateral incansable,Fábrica de asistencias del Liverpool campeón de Europa.
prime,Achraf Hakimi,20/21,velocidad de scudetto,Carrilero del Inter que ganó la Serie A.
prime,Theo Hernandez,21/22,cohete por la izquierda,Lateral del Milan campeón de la Serie A.
prime,Manuel Neuer,13/14,el portero-líbero,Revolucionó el puesto; campeón del mundo 2014.
prime,Thibaut Courtois,21/22,la final de París,Paradas históricas para dar la 14ª Champions al Madrid.
prime,Jan Oblak,18/19,Zamora tras Zamora,"El muro esloveno, el mejor portero de La Liga."
prime,Alisson,18/19,seguridad brasileña,Guante de Oro y Champions en su primer año en Liverpool.
prime,Marc-Andre ter Stegen,19/20,reflejos y juego de pies,El portero moderno del Barça.
prime,Ederson,19/20,el pie más preciso,Portero-creador del City de Guardiola.
prime,David de Gea,17/18,paradas imposibles,Guante de Oro de la Premier; su mejor curso en el United.
prime,Keylor Navas,16/17,héroe de tres Champions,Portero del Madrid del triplete europeo.
prime,Gianluigi Donnarumma,22/23,gigante bajo palos,Titular del PSG; ya campeón de Europa con Italia.
prime,N'Golo Kante,16/17,motor de dos títulos seguidos,Campeón con Leicester y Chelsea; PFA al mejor jugador.
prime,Sergio Busquets,14/15,ancla del triplete,El pivote invisible del Barça que ganó todo en 2015.
prime,Casemiro,16/17,equilibrio del Madrid,El escudo de las Champions consecutivas del Real Madrid.
prime,Fabinho,18/19,el faro del Liverpool,Pivote de la Champions de Madrid 2019.
prime,Claude Makelele,03/04,inventó una posición,El 'rol Makelele': el mediocentro destructor moderno.
prime,Andrea Pirlo,11/12,director de orquesta,Renació en la Juve invicta que ganó el Scudetto.
prime,Xabi Alonso,13/14,pase largo de otro mundo,Cerebro de La Décima del Real Madrid.
icono,Lionel Andrés Messi Cuccittini,,~850 goles · 8 Balones de Oro,El mejor de la historia; campeón del mundo 2022 con Argentina.
icono,Cristiano Ronaldo dos Santos Aveiro,,~900 goles · 5 Balones de Oro,Máximo goleador de la Champions y de las selecciones; 5 Champions.
icono,Ronaldo de Assis Moreira,,2 Balones... 1 de Oro (2005),Ronaldinho: alegría y magia; Champions y Mundial 2002 con Brasil.
icono,Zlatan Ibrahimović,,~570 goles de club,Ganó ligas en cuatro países; ego y acrobacia a partes iguales.
icono,Thierry Henry,,228 goles con el Arsenal,Máximo goleador histórico gunner; Mundial 98 y invencible de 2004.
icono,Luis Alberto Suárez Díaz,,Pichichi y Bota de Oro europea,Killer letal; triplete con el Barça y goleador uruguayo histórico.
icono,Samuel Eto''o Fils,,dos tripletes de Champions,Delantero africano legendario; campeón con Barça e Inter.
icono,Neymar da Silva Santos Junior,,~450 goles de club,MSN y oro olímpico 2016; el fichaje más caro de la historia.
icono,Sergio Leonel Agüero del Castillo,,"260 goles, récord del City",El '93:20' que dio la primera Premier; máximo goleador citizen.
icono,Edinson Roberto Cavani Gómez,,máximo goleador histórico del PSG,El Matador; killer de área implacable en Nápoles y París.
icono,Karim Benzema,,Balón de Oro 2022,Nueve de la mano; goleador y líder de las Champions del Madrid.
icono,Gareth Frank Bale,,cinco Champions con el Madrid,Velocidad y golazos: la chilena de Kiev y la final de Lisboa.
icono,Arjen Robben,,el gol del triplete 2013,'Cortar a la izquierda y disparar'; extremo imparable del Bayern.
icono,Franck Bilal Ribéry,,"triplete 2013, casi Balón de Oro","El mago francés del Bayern, socio de Robben en las bandas."
icono,Radamel Falcao García Zárate,,"El Tigre, killer de área",Doble Europa League con el Atleti; olfato goleador letal.
icono,Alexis Alejandro Sánchez Sánchez,,máximo goleador chileno histórico,Dos Copas América; talento y sacrificio en Arsenal y Barça.
icono,Fernando Torres,,El Niño,Champions y Europa con el Chelsea; Euros 2008-12 y Mundial 2010.
icono,Eden Hazard,,mago belga del Chelsea,Dos Premier y dos Europa League; regate imposible de parar.
icono,Ángel Fabián Di María Hernández,,finales y asistencias,"Fideo: decisivo en Mundial, Champions y Finalissima con Argentina."
icono,David Villa Sánchez,,máximo goleador histórico de España,El Guaje; campeón de Mundial 2010 y Eurocopas.
icono,Xavier Hernández Creus,,cerebro del tiki-taka,Motor del Barça y de la España de dos Euros y un Mundial.
icono,Andrés Iniesta Luján,,el gol del Mundial 2010,Elegancia infinita; alma del mejor Barça de la historia.
icono,Sergio Busquets i Burgos,,el pivote perfecto,Invisible e imprescindible; lo ganó todo con Barça y España.
icono,Francesco Totti,,máximo goleador histórico de la Roma,Il Capitano: una vida entera de fidelidad y talento en Roma.
icono,Mesut Özil,,rey de las asistencias,Visión única; Mundial 2014 y creador del Madrid y el Arsenal.
icono,Toni Kroos,,pase quirúrgico,Cinco Champions y un Mundial; el metrónomo alemán del Madrid.
icono,David Silva,,El Mago,Cerebro de la era dorada del City y de la España campeona.
icono,Xabi Alonso,,pase largo legendario,Champions con Liverpool y Madrid; Mundial y dos Euros.
icono,Gnégnéri Yaya Touré,,músculo y gol del City,Mediocampista dominante; motor de las primeras Premier citizen.
icono,Marco Reus,,capitán eterno del Dortmund,Talento y lealtad amarilla pese a las lesiones; leyenda del BVB.
icono,Antoine Griezmann,,máximo goleador histórico del Atleti,Campeón del mundo 2018; killer y creador a la vez.
icono,Robert Lewandowski,,~700 goles de club,Dos veces The Best; los 5 goles en 9 minutos y récords en la Bundesliga.
icono,Carles Puyol i Saforcada,,capitán del sextete,Tiburón de Barcelona; garra y liderazgo del Barça y España.
icono,Gerard Piqué Bernabéu,,central del sextete,"Salida de balón y carácter; Champions, Ligas y Mundial 2010."
icono,Sergio Ramos García,,~100 goles siendo central,El capitán de La Décima; récord de goles decisivos y de partidos con España.
icono,Dani Alves,,el lateral más laureado,43 títulos; carrilero incansable del mejor Barça.
icono,Marcelo Vieira da Silva Júnior,,el brasileño más laureado del Madrid,Cinco Champions; carrilero de fantasía por la izquierda.
icono,Philipp Lahm,,capitán del triplete y del Mundial,Lateral y pivote perfecto; inteligencia táctica pura.
icono,John Terry,,Mr. Chelsea,"Capitán, líder, leyenda; récord de goles para un defensa en la Premier."
icono,Giorgio Chiellini,,muro de la Juventus e Italia,BBC; campeón de Europa 2020 con Italia.
icono,Leonardo Bonucci,,salida de balón de la BBC,Central-cerebro de la Juve y la Italia campeona de Europa.
icono,Javier Alejandro Mascherano,,El Jefecito,Central y pivote del Barça; corazón de la Argentina de tres finales.
icono,Gianluigi Buffon,,Mundial 2006 · récord de partidos,El mejor portero de la historia de Italia; longevidad eterna.
icono,Petr Čech,,récord de porterías a cero en la Premier,El casco; Champions 2012 y muro del Chelsea y Arsenal.
icono,Zinedine Zidane,,Balón de Oro y la volea de Glasgow,Zizou: Mundial 98 y una de las mejores finales de Champions.
icono,Ronaldo Luíz Nazário de Lima,,El Fenómeno · 2 Balones de Oro,El '9' definitivo; Bota de Oro del Mundial 2002.
icono,Ricardo Izecson dos Santos Leite,,Balón de Oro 2007,Kaká: conducción eléctrica; Champions y Mundial con Brasil y Milan.
icono,Andrea Pirlo,,il Maestro,Mundial 2006 y dos Champions; el mejor pase largo de su generación.
icono,Steven Gerrard,,la remontada de Estambul,Capitán todoterreno; leyenda absoluta del Liverpool.
icono,Frank Lampard,,máximo goleador histórico del Chelsea,Llegada desde segunda línea inigualable; 211 goles blues.
icono,Didier Yves Drogba Tébily,,el penalti de Múnich 2012,Killer de finales; leyenda del Chelsea y de Costa de Marfil.
icono,Iker Casillas Fernández,,San Iker,Capitán de la España de Mundial y dos Euros; paradas históricas.
icono,Paolo Maldini,,25 años en el Milan,El mejor defensa lateral/central de la historia; 5 Champions.
icono,Alessandro Nesta,,elegancia sin faltas,Marcaje perfecto; central de la Italia y el Milan campeones.
icono,Raúl González Blanco,,máximo goleador histórico del Madrid en su era,El Capitán; olfato y liderazgo blanco durante 16 años.
icono,Ruud van Nistelrooy,,máquina de goles de área,150 goles en el United; killer letal también en el Madrid.
icono,Andriy Shevchenko,,Balón de Oro 2004,Sheva: goleador legendario del Milan y de Ucrania.
icono,Wesley Sneijder,,MVP del triplete del Inter,2010 casi perfecto: Champions con el Inter y final del Mundial.
icono,Diego Forlán Corazo,,Balón de Oro del Mundial 2010,Doble Bota de Oro europea; killer del Atleti y Uruguay.
icono,Carlos Alberto Tevez,,Apache,Garra y gol; Champions con el United y títulos con City y Juve.
icono,Diego Armando Maradona,,el Mundial 86 y el Napoli,Dios; llevó a un Nápoles modesto a dos scudettos.
icono,Johan Cruyff,,3 Balones de Oro,El profeta del fútbol total; jugador y entrenador que cambió el juego.
icono,Fabio Cannavaro,,Balón de Oro 2006,Capitán central de la Italia campeona del mundo.
icono,Lev Yashin,,la Araña Negra,Único portero con Balón de Oro; leyenda soviética.
icono,Franz Beckenbauer,,Der Kaiser · 2 Balones de Oro,Inventó el líbero moderno; campeón del mundo como jugador y técnico.
icono,Roberto Carlos,,la falta imposible,Lateral izquierdo goleador; potencia y Mundial 2002 con Brasil.
icono,Cafu,,récord de finales de Mundial,Il Pendolino; capitán de Brasil campeón en 2002.
icono,Franco Baresi,,capitán eterno del Milan,Líder de la mejor defensa de la historia; el '6' retirado en San Siro.
icono,Lilian Thuram,,récord de partidos con Francia,Central impasable; los dos goles que metieron a Francia en la final 98.
icono,Rio Ferdinand,,elegancia y salida de balón,Central del United de seis Premier y la Champions 2008.
icono,Nemanja Vidic,,capitán de hierro del United,Marcaje feroz; socio perfecto de Ferdinand.
icono,Javier Zanetti,,Il Capitano del Inter,Longevidad y clase; casi 1000 partidos y el triplete de 2010.
icono,Thiago Silva,,O Monstro,Uno de los mejores centrales del siglo; capitán de Brasil y el PSG.
icono,Vincent Kompany,,capitán de las Premier del City,Liderazgo y golazos decisivos; alma de la era Guardiola inicial.
icono,Ashley Cole,,el mejor lateral izquierdo de su era,Múltiples Premier y Champions con Arsenal y Chelsea.
icono,Edwin van der Sar,,la parada de Moscú 2008,Portería a cero récord; Champions con Ajax y United.
icono,Peter Schmeichel,,el gigante del triplete 99,El mejor portero de la historia del United según muchos.
icono,Dino Zoff,,Mundial 82 con 40 años,El capitán-portero más veterano en levantar la Copa del Mundo.
icono,Oliver Kahn,,mejor jugador del Mundial 2002,Der Titan; muro imbatible del Bayern y Alemania.
icono,Paul Scholes,,el mejor pase de su generación,Golazos de volea y visión; una vida en el United de Ferguson.
icono,Roy Keane,,líder feroz del United,Capitán intratable; motor de siete Premier.
icono,Patrick Vieira,,capitán de los invencibles,Box-to-box dominante del Arsenal de 2004.
icono,Clarence Seedorf,,Champions con tres clubes,"Único en ganarla con Ajax, Madrid y Milan; elegancia total."
icono,Michael Essien,,The Bison,Potencia y golazos; motor del Chelsea de Mourinho.
icono,Claude Makelele,,inventó una posición,El 'rol Makelele': el pivote destructor que definió una era.
